Contributors to Fishtest with >10,000 CPU hours, as of 2025-01-01.
Thank you!

Username                                CPU Hours     Games played
------------------------------------------------------------------
ChessDBCN                               38801851        3101610489
technologov                             24360083        1098274290
vdv                                     19428149         718625790
linrock                                 11027601         712852767
mlang                                    3026000         200065824
okrout                                   2642190         243305186
ChessDB_CN_WorkerPool                    2439595         149579682
pemo                                     1836997          62245813
olafm                                    1792805         123660022
TueRens                                  1748707          79216898
dew                                      1689162         100033738
sebastronomy                             1629073          66589974
grandphish2                              1470227          91969549
JojoM                                    1130625          73666098
rpngn                                     889698          56756455
oz                                        876018          57791858
tvijlbrief                                796125          51897690
gvreuls                                   775101          54182082
mibere                                    703840          46867607
leszek                                    584835          43595259
cw                                        519602          34988289
fastgm                                    503862          30260818
CSU_Dynasty                               474008          31626238
maximmasiutin                             441606          28116398
ctoks                                     435148          28541909
crunchy                                   427414          27371625
bcross                                    415724          29061187
robal                                     410549          27212736
mgrabiak                                  376438          27243720
velislav                                  342588          22140902
ncfish1                                   329039          20624527
Fisherman                                 327231          21829379
Sylvain27                                 312832          11365408
marrco                                    309932          19571625
Dantist                                   296386          18031762
tolkki963                                 283210          23373698
Fifis                                     267179          14175313
Calis007                                  251176          16177162
nordlandia                                249322          16420192
cody                                      242299          12734340
glinscott                                 208125          13277240
drabel                                    204167          13930674
mhoram                                    202894          12601997
bking_US                                  198894          11876016
javran                                    198343          15557504
Wencey                                    190519           9542040
Thanar                                    179852          12365359
armo9494                                  167624          11152480
DesolatedDodo                             160429          10381734
spams                                     157128          10319326
sschnee                                   155588           9891980
sqrt2                                     147963           9724586
maposora                                  142388          12753358
vdbergh                                   140376           9230825
jcAEie                                    140086          10603658
CoffeeOne                                 137100           5024116
malala                                    136182           8002293
xoto                                      133759           9159372
Dubslow                                   129637           8522032
davar                                     129023           8376525
Goatminola                                123869          10499182
markkulix                                 123842          10197226
DMBK                                      122960           8980062
dsmith                                    122059           7570238
CypressChess                              120871           8681512
Wolfgang                                  120672           8599122
amicic                                    119661           7938029
Data                                      113305           8220352
cuistot                                   113096           7451244
BrunoBanani                               112960           7436849
skiminki                                  107583           7218170
megaman7de                                104588           7071022
sterni1971                                104431           5938282
zeryl                                     103823           6576433
MaZePallas                                102823           6633619
sunu                                      100167           7040199
thirdlife                                  99178           2246544
ElbertoOne                                 99028           7023771
bigpen0r                                   94825           6529241
naclosagc                                  93095           3071544
brabos                                     92118           6186135
Maxim                                      90818           3283364
psk                                        89957           5984901
szupaw                                     89223           7750826
jromang                                    87052           5973291
TataneSan                                  86410           4178406
racerschmacer                              85805           6122790
Vizvezdenec                                83761           5344740
0x3C33                                     82614           5271253
BRAVONE                                    81239           5054681
Spprtr                                     80171           5524243
MarcusTullius                              78054           5156181
Mineta                                     77681           4932260
romangol                                   76880           6103750
nssy                                       76497           5259388
woutboat                                   76379           6031688
teddybaer                                  75125           5407666
Pking_cda                                  73776           5293873
yurikvelo                                  73611           5046822
Bobo1239                                   70579           4794999
solarlight                                 70517           5028306
dv8silencer                                70287           3883992
manap                                      66273           4121774
tinker                                     64333           4268790
qurashee                                   61208           3429862
AGI                                        58316           4336328
robnjr                                     57262           4053117
Freja                                      56938           3733019
MaxKlaxxMiner                              56879           3423958
ttruscott                                  56010           3680085
rkl                                        55132           4164467
jmdana                                     54918           4035101
notchris                                   53936           4184018
renouve                                    53811           3501516
finfish                                    51360           3370515
eva42                                      51272           3599691
eastorwest                                 51117           3454811
jojo2357                                   50221           4348696
rap                                        49985           3219146
pb00067                                    49733           3298934
GPUex                                      48686           3684998
OuaisBla                                   48626           3445134
ronaldjerum                                47654           3240695
biffhero                                   46564           3111352
oryx                                       46116           3582032
VoyagerOne                                 45476           3452465
jibarbosa                                  44834           4439264
speedycpu                                  43842           3003273
jbwiebe                                    43305           2805433
Antihistamine                              41788           2761312
mhunt                                      41735           2691355
homyur                                     39893           2850481
gri                                        39871           2515779
DeepnessFulled                             39020           3323102
gopeto                                     38724           2660130
Garf                                       37741           2999686
mecevdimitar                               37657           2252110
SC                                         37299           2731694
Gaster319                                  37229           3289674
Torom                                      36581           1319152
somethingintheshadows                      36352           2877656
csnodgrass                                 36207           2688994
strelock                                   34716           2074055
ZacHFX                                     34680           2446242
abdicj                                     34337           1862554
vidar808                                   34281           1501378
EthanOConnor                               33370           2090311
slakovv                                    32915           2021889
CounterFlow                                32580           2130164
shawnxu                                    32125           2812608
Gelma                                      31771           1551204
kdave                                      31157           2198362
manapbk                                    30987           1810399
votoanthuan                                30691           2460856
srowen                                     30577           1677374
Prcuvu                                     30377           2170122
anst                                       30301           2190091
jkiiski                                    30136           1904470
spcc                                       29925           1901692
hyperbolic.tom                             29840           2017394
chuckstablers                              29659           2093438
Pyafue                                     29650           1902349
belzedar94                                 28846           1811530
WoodMan777                                 27372           2403408
DanielMiao1                                27363            669026
chriswk                                    26902           1868317
xwziegtm                                   26897           2124586
achambord                                  26582           1767323
Patrick_G                                  26276           1801617
yorkman                                    26193           1992080
Ulysses                                    25416           1703116
Jopo12321                                  25227           1652482
SFTUser                                    25182           1675689
nabildanial                                25068           1531665
Sharaf_DG                                  24765           1786697
YvesKn                                     24404           1279084
rodneyc                                    24376           1416402
jsys14                                     24297           1721230
AndreasKrug                                24198           1932265
agg177                                     23890           1395014
Ente                                       23752           1678188
icewulf                                    23550           1550000
JanErik                                    23408           1703875
Isidor                                     23388           1680691
Norabor                                    23371           1603244
Nullvalue                                  23155           2022752
cisco2015                                  22920           1763301
Zirie                                      22542           1472937
team-oh                                    22272           1636708
Hjax                                       22251           1552811
Roady                                      22220           1465606
Skiff84                                    22204           1022586
mkstockfishtester                          22146           2020970
ols                                        22091           1283897
fishtester                                 21999           1474380
MazeOfGalious                              21978           1629593
sg4032                                     21950           1643373
tsim67                                     21827           1336672
ianh2105                                   21725           1632562
xor12                                      21628           1680365
dex                                        21612           1467203
nesoneg                                    21494           1463031
Serpensin                                  21459           1791278
user213718                                 21454           1404128
sphinx                                     21211           1384728
IslandLambda                               21194           1224550
qoo_charly_cai                             21136           1514927
wizardassassin                             21112           1603414
jjoshua2                                   21001           1423089
Zake9298                                   20938           1565848
horst.prack                                20878           1465656
0xB00B1ES                                  20590           1208666
Dinde                                      20459           1292774
j3corre                                    20405            941444
Adrian.Schmidt123                          20316           1281436
wei                                        19973           1745989
teenychess                                 19819           1762006
rstoesser                                  19569           1293588
eudhan                                     19274           1283717
vulcan                                     18871           1729392
Karpovbot                                  18766           1053178
jundery                                    18445           1115855
nalanzeyu                                  18114            391154
ville                                      17883           1384026
chris                                      17698           1487385
purplefishies                              17595           1092533
dju                                        17414            981289
iisiraider                                 17275           1049015
sebv15                                     17235           1213400
Karby                                      17160           1028672
DragonLord                                 17014           1162790
whelanh                                    17000            326726
pirt                                       16966           1271743
redstone59                                 16842           1461780
Alb11747                                   16787           1213990
Naven94                                    16414            951718
scuzzi                                     16115            994341
IgorLeMasson                               16064           1147232
malfoy                                     15682           1028650
ako027ako                                  15671           1173203
infinigon                                  15285            965966
Nikolay.IT                                 15154           1068349
Andrew Grant                               15114            895539
OssumOpossum                               14857           1007129
LunaticBFF57                               14525           1190310
enedene                                    14476            905279
bpfliegel                                  14233            882523
YELNAMRON                                  14230           1128094
purpletree                                 14187           1048904
mpx86                                      14019            759568
jpulman                                    13982            870599
getraideBFF                                13871           1172846
crocogoat                                  13817           1119086
Nesa92                                     13806           1116101
joster                                     13710            946160
mbeier                                     13650           1044928
Pablohn26                                  13552           1088532
wxt9861                                    13550           1312306
Dark_wizzie                                13422           1007152
Rudolphous                                 13244            883140
Jackfish                                   13074            885456
Machariel                                  13010            863104
mabichito                                  12903            749391
thijsk                                     12886            722107
AdrianSA                                   12860            804972
Flopzee                                    12698            894821
mschmidt                                   12644            863193
RickGroszkiewicz                           12631           1224630
korposzczur                                12606            838168
fatmurphy                                  12547            853210
Oakwen                                     12532            855759
SapphireBrand                              12416            969604
deflectooor                                12386            579392
modolief                                   12386            896470
szczur90                                   12331            961006
ckaz                                       12271            754388
Farseer                                    12249            694108
Hongildong                                 12201            648712
pgontarz                                   12151            848794
dbernier                                   12103            860824
FormazChar                                 12019            910409
rensonthemove                              11999            971993
stocky                                     11954            699440
MooTheCow                                  11923            779432
3cho                                       11842           1036786
shreven                                    11804            875152
infinity                                   11470            727027
ImperiumAeternum                           11433            977086
aga                                        11412            695127
Def9Infinity                               11408            700682
torbjo                                     11395            729145
Thomas A. Anderson                         11372            732094
savage84                                   11358            670860
d64                                        11263            789184
ali-al-zhrani                              11245            779246
snicolet                                   11106            869170
dapper                                     11032            771402
Ethnikoi                                   10993            945906
Snuuka                                     10938            435504
Karmatron                                  10871            678306
gerbil                                     10850           1004138
xuhdev                                     10750           1053550
basepi                                     10637            744851
Cubox                                      10621            826448
michaelrpg                                 10618            747583
OIVAS7572                                  10420            995586
Garruk                                     10365            706465
dzjp                                       10343            732529
